Training_Epoch_Number,Huber_Loss_Value,MAPE_Percentage
1,2.2675912018978233,340.97855163343024
2,1.8199968879873103,2412.1018509070077
3,1.8416218107396907,363357.7949950189
4,1.336574237793684,6061.542718428554
5,1.0915794498992688,874.1955144838853
6,0.8779438264442213,875.848250136231
7,0.8948997114643906,817.7651632915844
8,0.6861724817391598,174.07889239715809
9,0.625742653554136,129.7296556559476
10,0.5866778142976038,146.62202416044292
11,0.6234621012752707,172.89175851778552
12,0.5981329896233298,225.58978019338664
13,0.6384535237695231,282.43206432371426
14,0.5114485736597668,153.29333525715452
15,0.5745147060264241,165.84692940567479
16,0.522459092465314,166.7171114321911
17,0.5350054845665441,174.99197938225487
18,0.4934360186258952,174.5818586060495
19,0.6233847299308488,307.170631126924
20,0.5078913221756617,163.86917147672537
21,0.48266786698139075,192.01858115918708
22,0.4631621932441538,173.10910062356427
23,0.4817789282762643,157.3663931904417
24,0.462168579751795,138.17390420220116
25,0.4845473796806552,163.94434029405767
26,0.4808402488177473,144.89925548885807
27,0.431418033711838,114.11496102809906
28,0.46757589641845587,190.96737016331065
29,0.48001000352881174,162.24782358516347
30,0.40789227695627644,121.16305060458906
31,0.40840114743420575,124.95035249175447
32,0.3752494194742405,99.01973370349768
33,0.40936599333177914,123.47832385337713
34,0.40867856709343015,141.92713354573107
35,0.36382495939280046,119.31862469875452
36,0.3484777934623487,96.20644540497752
37,0.3546246202154593,152.04748023640025
38,0.3066988703653668,93.89946383960319
39,0.4277683195065368,201.16813751784238
40,0.33987751603126526,107.66017147988984
41,0.32367994489543367,154.36137878533566
42,0.3241639972636194,116.3185333663767
43,0.31675935135872074,107.71097522793394
44,0.31680594266138296,188.9396832973668
45,0.4007176002769759,290.37669228784966
46,0.4256357401609421,281.31642034559536
47,0.2865519467176813,88.60031239914171
48,0.5624570259542176,154.03222098495021
49,0.2983382907554959,70.70861431685361
50,0.4471122126913432,479.4138390909542
51,0.2768292155003909,76.3593852519989
52,0.25426074343197275,64.27778673894477
53,0.2718566801737655,99.67518015341325
54,0.33110805013866135,84.4664092316772
55,0.2486069007692012,108.58040452003479
56,0.21168708936734634,68.88490770802353
57,0.30378214094900724,212.18222212610823
58,0.23401557823473756,69.77111299832661
59,0.26439833358833287,73.29458517558646
60,0.21334146623584357,78.06340465039918
61,0.18541423998998874,68.32059260570642
62,0.21866369258725282,149.83441332976022
63,0.1548014526735201,52.012799183527626
64,0.2621685018142064,63.04914030161771
65,0.2039168733313228,80.72690710876927
66,0.24596466039039308,76.21979907606587
67,0.19932442480190235,78.73171863682342
68,0.197112933252797,64.07522098584609
69,0.15250142020258037,54.38044455015298
70,0.1878743753909613,52.25918410402356
71,0.21173340985269257,91.86325425451452
72,0.18155638828422083,62.3801895163276
73,0.13253521061304843,45.05301641695427
74,0.13154299534631497,43.491080854878284
75,0.16040352556967374,49.04774897026293
76,0.14353155051216934,53.17344656496337
77,0.10470489034372749,37.02357610066732
78,0.1355442459215269,50.69922678398363
79,0.20885369486429475,103.04214376391786
80,0.11077960670897455,44.4714165095127
81,0.10923954392924454,44.00761877045487
82,0.1383810503916307,49.065705140431724
83,0.15187887000766667,63.32719813693654
84,0.10565533915139509,38.5669441837253
85,0.08941849100996148,39.78450551177516
86,0.11066264990773617,39.03891855117047
87,0.09801060785398338,40.467054509755336
88,0.18401182623523654,87.5075589075233
89,0.09532884635369886,34.372542933984235
90,0.08546019146557558,36.007165457263135
91,0.1330291053393122,35.521120781248264
92,0.11787964493233824,40.428422910697535
93,0.13273409838703545,47.40031334486875
94,0.14208120509812777,67.66130045959444
95,0.08760834359704997,35.91847212025613
96,0.07502200976578575,33.028548233436815
97,0.09475284383039582,39.48495080976775
