Training_Epoch_Number,Huber_Loss_Value,MAPE_Percentage
1,0.5326708172532645,165.7237267855442
2,0.4043250192295421,140.1999892610492
3,0.4139443346948335,165.94323281085852
4,0.37777472219683905,142.20824336463755
5,0.3563801115096519,145.41937618544608
6,0.37990430945699866,160.29304744619313
7,0.4024383836623394,173.46039847894147
8,0.3496508047436223,197.3743635596651
9,0.33767477400375134,180.1288661631671
10,0.46328548951582477,365.2874569098155
11,0.3555703133796201,188.83217627351934
12,0.44463677004431235,160.03105504946276
13,0.3127609599720348,182.51497348149618
14,0.3009795835523894,169.2495067914327
15,0.2805549682992877,163.00788575952703
16,0.2995005149507161,142.3092892675689
17,0.29293227940797806,148.79509192524534
18,0.28450840892213763,174.8076917547168
19,0.4308314598871,279.8578634406581
20,0.26065469516271894,154.134067531788
21,0.2604322514750741,139.1391345948884
22,0.2686152977473808,132.96974048470005
23,0.32366281510754064,119.68540079665907
24,0.20402525636282834,115.45898047360507
25,0.29513592758413515,179.70534657890147
26,0.21845066276463596,118.61365609096758
27,0.21603882865923824,100.91073901364298
28,0.20565559444102374,134.47389033707705
29,0.1950009593909437,99.13949605190393
30,0.20683053542267194,113.21681602434678
31,0.2363372314156908,151.54428924574995
32,0.20502175334276576,84.49810020851366
33,0.14783252527316412,86.10759675502777
34,0.13173940430649303,71.6653899712996
35,0.1281592073765668,75.28155455083558
36,0.12398530554139253,74.91689775929306
37,0.11712151641647021,68.20667386054993
38,0.15102769171988423,94.14262798699465
39,0.12221502117586858,62.00408502058549
40,0.10197975161965146,65.88926310792114
41,0.12058963570179361,68.68366779703082
42,0.11427768135697326,70.27662888620839
43,0.09860202585431663,63.70281757730426
44,0.09232181711404612,62.43075692292416
45,0.10492812723598698,56.41653835773468
46,0.09456758076945941,61.813059087955594
47,0.11105952352624048,70.8644811854218
48,0.16373715086868315,56.171625671964705
49,0.12718090048116265,54.99376067609498
50,0.10891338020111575,58.26648816917882
51,0.10534900855837447,56.33919871214664
52,0.10648591712004307,61.40367858337633
53,0.07982748650917501,47.772817900686555
54,0.06659109306267717,42.08839192534938
55,0.0779474222129493,51.24794195095698
56,0.0945424869035681,50.20781954129537
57,0.11783147806471045,59.68807980869756
58,0.10495245442584608,63.37204584569642
59,0.12389138103886084,56.295829830747664
60,0.08197957488962195,47.88872753128861
61,0.08593338186090643,49.226193536411635
62,0.07627090665681119,44.054243239489466
63,0.08924663481725888,40.95335494388234
64,0.09551519592941711,60.045528682795435
65,0.07555478743531487,38.15128726489616
66,0.06758795760459069,39.29559967734597
67,0.06723823875301715,42.60610703266028
68,0.06303445111508622,35.37938779953754
69,0.059023380519427134,39.81325296741544
70,0.07414342256996667,48.69848749402797
71,0.06819128669854818,35.884176601063125
72,0.06111267542071415,42.98676153024038
73,0.07831892120002797,42.88430692571582
74,0.054279113837489575,35.51276127497355
75,0.0458154136907648,33.398247939167604
76,0.0587200799067928,36.93783531586329
77,0.04198078029422146,32.4811829310475
78,0.058958115564151245,38.63155286420476
79,0.04294199054834969,31.606479305209536
80,0.04782478815424397,27.23576029141744
81,0.05646398114450593,28.69521194335186
82,0.05954309658740054,41.252667140780076
83,0.04865258965979923,30.892492153427817
84,0.07197799065122099,42.282492554549016
85,0.03922806722535328,29.211154580116272
86,0.04028202900945237,30.543213089307148
87,0.06137044115387129,40.037124852339424
88,0.056050473245594534,31.087235925775587
89,0.05170616526579992,31.979656716187794
90,0.037186451266858385,30.701336603273045
91,0.03173544283278964,28.52096828547391
92,0.041641153789400545,32.878969542004846
93,0.028973209043738967,26.844239370389417
94,0.03558575998370846,31.17593445561149
95,0.03734830457180964,27.3981410445589
96,0.03191159558341359,29.153213221015353
97,0.0305059290364046,26.323334421172287
98,0.040785861667245626,33.285437930714004
99,0.02873948703266003,28.818331703995213
100,0.026022562559581165,26.071178461566117
101,0.03477785918353633,30.401263092503402
102,0.04412960282272913,30.696954149188418
103,0.09907611410105319,48.36714981180249
104,0.06185480108428182,32.776029633753225
105,0.046752865045246755,36.229682510549374
106,0.04725002297764701,36.56492533557343
107,0.039196818340287515,28.280751587766588
108,0.059618381670478615,39.07669687812979
109,0.026970206378874453,25.87579529393803
110,0.02575324778445065,23.97886977502794
111,0.03928697246804156,25.872659999312777
112,0.022530378932556647,20.851481096311048
113,0.03267522250076361,24.96795387882175
114,0.024547449440102686,23.260973303607017
115,0.026300549464808268,26.38897216229728
116,0.029551603499743524,23.019431892669562
117,0.03410207223372929,28.181628792574912
118,0.02736917581624408,25.52370142304536
119,0.02381077270503297,21.85140179865288
120,0.02409932280495537,21.203238223538253
121,0.030978752060257124,22.945932818181586
122,0.025169522565027528,19.808300652287222
123,0.02936643231519018,25.109561081185486
124,0.030814317139712246,27.123417863340087
125,0.027312396372012285,23.04338143404686
126,0.019222182468652274,19.921773897879053
127,0.027483769713646987,20.112701166759837
128,0.027034242279390157,23.69828668959213
129,0.024729137571711995,22.90148933728536
130,0.02708816687774026,23.249066598487623
131,0.02773052065061744,23.74628068822803
132,0.020002271041669177,23.047712016286273
133,0.026873282622545958,21.280302107334137
134,0.03468639725311236,27.34077739896196
135,0.02635783526806556,21.1412099274722
136,0.020804555522221508,22.202509957732577
137,0.03998441868602778,27.591234987432305
138,0.021079191108142506,20.168387494755514
139,0.030973868303452477,25.607800754633818
140,0.023537428107705306,21.58523974093524
141,0.024749259457387256,23.277514947183203
142,0.054391985360504776,41.259883186130814
143,0.02708329687911001,26.12218712315415
144,0.024516991974616594,21.83491416049726
145,0.0158214780720741,17.220160319949642
146,0.018689699820242822,16.600034047256816
147,0.02054453823207454,18.768317410440154
148,0.015348090910155213,16.46726144985719
149,0.015497126785868948,15.366479528672768
150,0.015097406798635016,15.665196695111014
151,0.023958130231635136,22.19908293901068
152,0.0246208689217879,20.454707245031994
153,0.019079695025346045,22.25020464622613
154,0.02228083320413575,21.031934835694052
155,0.032913243110559764,21.651500869881023
156,0.023665821100373498,21.03082352515423
157,0.029205427304876855,25.01388842409307
158,0.01824820781952109,20.92554858236602
159,0.01240727665241469,14.91588448936289
160,0.013946120496698175,15.540010865890618
161,0.017646641817092048,15.032691305333918
162,0.016270327642842225,17.163928078882623
163,0.01678021577236271,13.7209261005575
164,0.01151189982016204,14.419821762677396
165,0.013882828177884221,15.846130884054935
166,0.018932977952345303,18.52073728135138
167,0.022173265631973856,18.51874565084775
168,0.023225553376092153,18.332365426150236
169,0.01645669406350476,16.6423287242651
170,0.027343084280746,16.947161067615856
171,0.02613944633666313,23.34828038107265
172,0.01701169991583535,19.599431324185748
173,0.014579675350846215,15.489106331810806
174,0.008776628567526737,12.922864271835847
175,0.022814519205977293,20.45002317789829
176,0.014493967334133093,16.52603086197015
177,0.02191607823426073,22.002607764619768
178,0.02568919466328666,25.60351529356205
179,0.019268223172702797,20.077899640256707
180,0.014954501431378903,14.773417377110684
181,0.028809523746145493,23.044528970212646
182,0.018711348937358707,21.609979845357664
183,0.014200996191269069,14.38581035895781
184,0.009994106084680729,11.59856135420727
185,0.011811170677626224,12.19202462922443
186,0.008305803904394534,13.50733172712904
187,0.010045381264662314,13.19969417245099
188,0.017105257089221566,17.320030588995326
189,0.023656144992194393,18.249066354650438
190,0.02099292618081425,16.512281379916452
191,0.03648324332651541,26.77874488360954
192,0.0391090029610716,27.60725093610359
193,0.01725375635644675,16.530027556599993
194,0.014286545775548526,15.698575973510742
195,0.013586771520997652,17.32076731595126
196,0.012288133444433863,15.837035395882346
197,0.01997685871284568,19.260880463954173
198,0.015725469410729904,17.39796707124421
199,0.016281699694721312,15.048840754862988
200,0.014910161103629931,16.142517147642195
201,0.01579656587405638,17.713497014659822
202,0.011137435211849428,15.633636103434997
203,0.014505947537889535,16.59200435334986
204,0.009314275819413138,13.771430402994156
205,0.014334513449505197,13.168204237114299
206,0.009601594717947371,13.719608047694871
207,0.010487556082366747,13.33732217211615
208,0.013292896667156707,13.747841864824295
209,0.017645159748843234,16.992260346358474
210,0.01647421149325303,17.455915248755254
211,0.016187274227074038,14.768237699613426
212,0.007288251253846807,12.009543067578113
213,0.010714752250351012,10.824265263297342
214,0.00837815229809194,12.316655006372567
215,0.009797852156087614,15.37666115345377
216,0.013255086191224329,14.742804883104382
217,0.01091019588938886,13.086062489133893
218,0.009976483295869195,13.862226226113059
219,0.007962298036242524,11.450575359842993
220,0.00871856628994768,11.458621964310154
221,0.008469385281910725,13.560707663947886
222,0.04382085738082727,26.50008300940196
223,0.01685903503058591,17.481750475637842
224,0.010146707082061435,12.473707657420274
225,0.008762471731946183,12.287117473103784
226,0.014379691184854672,17.68337534458348
227,0.013681832880882377,18.27123679898002
228,0.010062437148228513,15.659533260446606
229,0.022277073493707136,19.60278047305165
230,0.014189705402576223,15.723038724426067
231,0.012456522488994806,13.948420491633993
232,0.010725951774723151,12.205317571307674
233,0.00891996796990773,15.160066453796444
234,0.008953244668770243,13.505839511300579
235,0.016890285402592835,17.414392350297987
236,0.09121203184776912,23.76490393371293
237,0.022868569305335932,20.343715900724586
238,0.04263618544703632,26.20863661621556
239,0.015657302154453868,19.291893912084173
240,0.01384358088641117,15.032796245632749
241,0.010506146542452783,15.258858149701899
242,0.0119150285467957,13.032888553359292
243,0.01924569308087512,18.845887583765116
244,0.011428876564781549,14.054057837435693
245,0.011885060152659813,15.325491423859742
246,0.01265600375887571,17.228686425722007
247,0.015026834163798027,20.20675764052254
248,0.01814640583964347,18.684212524782527
249,0.017350742579296682,19.154553747538365
250,0.01278909748758782,16.76400504780538
251,0.00837617712871482,11.321709101850336
252,0.015828608873892914,18.247773656339355
253,0.009476432291028852,13.81187199643164
254,0.014780385098702303,16.0194529728456
255,0.010310931392296246,16.701627138889197
256,0.016918718682559716,15.952728327476617
257,0.011515397479701223,15.39357075411262
258,0.006738638522978307,11.368961835449392
259,0.00770678697286216,11.719825796105646
260,0.007558734085636608,12.880693421219334
261,0.01001255324897074,14.735140640175704
262,0.008925994404831506,12.888393359202327
263,0.008234088272949906,13.126222518357364
264,0.007624913208101961,12.479368574691541
265,0.010819305584653082,12.778133018450303
266,0.007732335176445882,10.566334607023181
267,0.00457317456444302,9.240484756953789
268,0.00484861393730777,9.935593988859292
269,0.013164197796758152,15.507495335557245
270,0.01001971905564212,12.668820854389306
271,0.0124550278282682,16.87807221755837
272,0.00909102658889341,13.390343083125172
273,0.01080707970399861,14.97087889548504
274,0.00884844306291956,13.933782098871289
275,0.007226848569134194,14.402528807069316
276,0.0120140933941002,18.509961834008042
277,0.01202475095774527,15.753443652030194
278,0.022614822243199204,21.484507688067175
279,0.009175068251021334,14.822590492214218
280,0.006619975539554919,11.387568198595986
281,0.007284019710354958,12.186215456688043
282,0.007096788572556706,11.255122969547907
283,0.01083097798541668,14.036578222206145
284,0.011822823050544795,14.184245196255771
285,0.010780976383213067,14.818677870613156
286,0.009880627625424302,15.167877168366402
287,0.008185712017372927,13.521915064616637
288,0.007042720209221553,13.819555588292353
289,0.01338125191360825,18.184559792280197
290,0.009188572673310497,12.374363862203829
291,0.005384916078941332,11.135441087412111
292,0.004507914189051724,10.650642216205597
293,0.0069636259347934165,13.630098736647403
294,0.008217710895802487,13.811183020924076
295,0.00829907476365792,12.94355947862972
296,0.02127397471022877,16.812443913835466
297,0.015671947293660858,18.544367316997413
298,0.024652000607740334,20.81649395439661
299,0.011597945522446411,18.1936704751217
300,0.00944182196116978,15.464963222091848
301,0.005861710487145253,10.573394619154207
302,0.005038083816709166,11.029320819811387
303,0.008220835906368766,14.299191805449398
304,0.012317572790903576,17.940564182671633
305,0.008953504000656363,14.366090297698975
306,0.005574860237891588,11.682300450223865
307,0.007816844732698166,13.357017889167324
308,0.0037522197958561733,8.65607683857282
309,0.008497087775278047,11.548773176742323
310,0.007212498787725273,12.167350614838528
311,0.0055721720326056875,10.314538137930812
312,0.005026016654235057,9.879094655766632
313,0.003965686673340811,8.180942431543812
314,0.00734048449984667,11.816761868469642
315,0.007167268061135529,12.462171189712755
316,0.010839608589638814,14.422077753327109
317,0.0059064019393796725,12.110486581470028
318,0.007356640923359065,13.39334642345255
319,0.006567787234389195,12.931505274592023
320,0.008757706414061513,15.820206972685726
321,0.005835713264814606,10.820583005746206
322,0.008377603529493861,11.970022614255097
323,0.005707906640247639,11.013166877356442
324,0.005656827851480833,11.411504266840039
325,0.0035127376146247666,8.983590453863144
326,0.0030062744221085627,7.568382358912266
327,0.002683920246922891,7.584392697070584
328,0.002599189335755496,8.251497759060426
329,0.005269260353860304,10.595733853000583
330,0.008904412859754468,10.761308286226157
331,0.006722531155295049,13.675619718251806
332,0.003865775357222777,9.195260918050101
333,0.006500766101728941,11.04926025269158
334,0.009203882458457498,14.722187591321541
335,0.0054824824698946695,10.297156712322524
336,0.004607670152560759,10.022774434676677
337,0.004224562363092307,9.153987535021521
338,0.007589231166727559,9.08904503466505
339,0.006315442012044404,8.919240342396678
340,0.004324993653977855,8.101997738986304
341,0.00409098473469247,8.933824142723372
342,0.004551374795978932,9.568475356156176
343,0.008105431829762616,12.764455807028394
344,0.011268320126515446,11.964720465017088
345,0.004057072369367675,9.657445279034702
346,0.001751997391693294,6.062795176650539
347,0.0030906694128961217,8.367558026855642
348,0.0026732119674279325,8.06781089667118
349,0.0022673279251621075,7.865118032152003
350,0.002368850029377041,6.97210200808265
