Model / Metric,Mean,Standard Deviation (±)
MLP Execution Time - MAE,1.42,0.83
MLP Execution Time - MAPE (%),10.85%,6.26%
MLP Energy Consumption - MAE,23.18,9.15
MLP Energy Consumption - MAPE (%),13.38%,4.92%
