=== FLAT FEATURE MATRIX LOG ===
Feature names order: ['jit_enabled', 'total_startup_cost', 'total_cost', 'max_plan_rows', 'total_plan_width', 'Seq Scan', 'Hash Join', 'Nested Loop', 'Aggregate', 'Sort', 'Other_Operators']

Query 0: [0.0, -0.49148544669151306, -0.5634422302246094, -0.10230487585067749, 1.0926992893218994, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -0.17543236911296844, -1.2763192653656006]
Query 1: [0.0, -0.8186286687850952, -0.8243759274482727, -0.46758976578712463, 1.8116977214813232, 1.2320176362991333, 0.5372973084449768, 2.4474523067474365, -1.4719600677490234, -0.17543236911296844, 1.887514591217041]
Query 2: [0.0, -0.5390602946281433, -0.5598382949829102, -0.4440642297267914, -0.5517426133155823, -0.20715336501598358, -0.2014864832162857, -0.1898023933172226, 0.0, 1.271884560585022, -0.4853607714176178]
Query 3: [0.0, -0.7519360184669495, -0.7633844614028931, -0.4895312190055847, -0.902936577796936, -0.9267388582229614, -0.9402703046798706, -0.1898023933172226, 0.0, -0.17543236911296844, -0.880840003490448]
Query 4: [0.0, -0.6938769221305847, -0.6944125294685364, -0.4808644652366638, 0.1886121779680252, 1.2320176362991333, 1.2760812044143677, 0.4695112705230713, 0.0, 1.271884560585022, 0.7010769248008728]
Query 5: [0.0, -0.656176745891571, -0.675081729888916, -0.4854700565338135, -0.9503952264785767, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -1.6227493286132812, -1.2763192653656006]
Query 6: [0.0, -0.7065034508705139, -0.7341131567955017, -0.4699823558330536, 0.9052376747131348, -0.20715336501598358, 0.5372973084449768, 1.1288249492645264, 0.0, -0.17543236911296844, 1.4920353889465332]
Query 7: [0.0, -0.7396032810211182, -0.6576496958732605, -0.4903410077095032, 0.3214963972568512, 1.2320176362991333, 1.2760812044143677, 1.7881386280059814, 0.0, -0.17543236911296844, 1.4920353889465332]
Query 8: [0.0, -0.7314027547836304, -0.721272349357605, -0.47388356924057007, 0.4733640253543854, 0.5124320983886719, 0.5372973084449768, 1.1288249492645264, 0.0, -0.17543236911296844, 0.7010769248008728]
Query 9: [0.0, -0.5331990122795105, -0.5255160331726074, -0.48304685950279236, 3.2164735794067383, 0.5124320983886719, 0.5372973084449768, -0.1898023933172226, 0.0, 1.271884560585022, -0.08988155424594879]
Query 10: [0.0, -0.851566731929779, -0.8617948293685913, -0.48788216710090637, -0.7510689496994019, -0.20715336501598358, -0.9402703046798706, 1.7881386280059814, 0.0, -0.17543236911296844, 0.7010769248008728]
Query 11: [0.0, -0.3912394344806671, -0.4632613956928253, -0.3938713073730469, -0.7676794528961182, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -0.17543236911296844, -0.880840003490448]
